year,round,circuitId,name,date,wiki_url,fp1_date,fp2_date,fp3_date,qualifying_date,sprint_date
9,7,9,British Grand Prix,1958-07-19 00:00:00Z,http://en.wikipedia.org/wiki/1958_British_Grand_Prix,,,,,
9,8,20,German Grand Prix,1958-08-03 00:00:00Z,http://en.wikipedia.org/wiki/1958_German_Grand_Prix,,,,,
9,9,59,Portuguese Grand Prix,1958-08-24 00:00:00Z,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix,,,,,
9,10,14,Italian Grand Prix,1958-09-07 00:00:00Z,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix,,,,,
9,11,64,Moroccan Grand Prix,1958-10-19 00:00:00Z,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix,,,,,
10,1,6,Monaco Grand Prix,1959-05-10 00:00:00Z,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix,,,,,
10,2,19,Indianapolis 500,1959-05-30 00:00:00Z,http://en.wikipedia.org/wiki/1959_Indianapolis_500,,,,,
10,3,39,Dutch Grand Prix,1959-05-31 00:00:00Z,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix,,,,,
10,4,55,French Grand Prix,1959-07-05 00:00:00Z,http://en.wikipedia.org/wiki/1959_French_Grand_Prix,,,,,
10,5,58,British Grand Prix,1959-07-18 00:00:00Z,http://en.wikipedia.org/wiki/1959_British_Grand_Prix,,,,,
10,6,61,German Grand Prix,1959-08-02 00:00:00Z,http://en.wikipedia.org/wiki/1959_German_Grand_Prix,,,,,
10,7,62,Portuguese Grand Prix,1959-08-23 00:00:00Z,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix,,,,,
10,8,14,Italian Grand Prix,1959-09-13 00:00:00Z,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix,,,,,
10,9,63,United States Grand Prix,1959-12-12 00:00:00Z,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix,,,,,
11,1,25,Argentine Grand Prix,1960-02-07 00:00:00Z,http://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix,,,,,
11,2,6,Monaco Grand Prix,1960-05-29 00:00:00Z,http://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix,,,,,
11,3,19,Indianapolis 500,1960-05-30 00:00:00Z,http://en.wikipedia.org/wiki/1960_Indianapolis_500,,,,,
11,4,39,Dutch Grand Prix,1960-06-06 00:00:00Z,http://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix,,,,,
11,5,13,Belgian Grand Prix,1960-06-19 00:00:00Z,http://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix,,,,,
11,6,55,French Grand Prix,1960-07-03 00:00:00Z,http://en.wikipedia.org/wiki/1960_French_Grand_Prix,,,,,
11,7,9,British Grand Prix,1960-07-16 00:00:00Z,http://en.wikipedia.org/wiki/1960_British_Grand_Prix,,,,,
11,8,59,Portuguese Grand Prix,1960-08-14 00:00:00Z,http://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix,,,,,
11,9,14,Italian Grand Prix,1960-09-04 00:00:00Z,http://en.wikipedia.org/wiki/1960_Italian_Grand_Prix,,,,,
11,10,60,United States Grand Prix,1960-11-20 00:00:00Z,http://en.wikipedia.org/wiki/1960_United_States_Grand_Prix,,,,,
12,1,6,Monaco Grand Prix,1961-05-14 00:00:00Z,http://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix,,,,,
12,2,39,Dutch Grand Prix,1961-05-22 00:00:00Z,http://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix,,,,,
12,3,13,Belgian Grand Prix,1961-06-18 00:00:00Z,http://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix,,,,,
12,4,55,French Grand Prix,1961-07-02 00:00:00Z,http://en.wikipedia.org/wiki/1961_French_Grand_Prix,,,,,
12,5,58,British Grand Prix,1961-07-15 00:00:00Z,http://en.wikipedia.org/wiki/1961_British_Grand_Prix,,,,,
12,6,20,German Grand Prix,1961-08-06 00:00:00Z,http://en.wikipedia.org/wiki/1961_German_Grand_Prix,,,,,
12,7,14,Italian Grand Prix,1961-09-10 00:00:00Z,http://en.wikipedia.org/wiki/1961_Italian_Grand_Prix,,,,,
