"id","created_at","updated_at","season_id","circuit_id","round","name","date","fp1_date","fp2_date","fp3_date","qualifying_date","sprint_date","wiki_url"
67,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",9,39,3,"Dutch Grand Prix","1958-05-26 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix"
68,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",9,19,4,"Indianapolis 500","1958-05-30 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1958_Indianapolis_500"
69,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",9,13,5,"Belgian Grand Prix","1958-06-15 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix"
70,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",9,55,6,"French Grand Prix","1958-07-06 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1958_French_Grand_Prix"
71,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",9,9,7,"British Grand Prix","1958-07-19 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1958_British_Grand_Prix"
72,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",9,20,8,"German Grand Prix","1958-08-03 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1958_German_Grand_Prix"
73,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",9,59,9,"Portuguese Grand Prix","1958-08-24 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix"
74,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",9,14,10,"Italian Grand Prix","1958-09-07 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix"
75,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",9,64,11,"Moroccan Grand Prix","1958-10-19 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix"
76,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",10,6,1,"Monaco Grand Prix","1959-05-10 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix"
77,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",10,19,2,"Indianapolis 500","1959-05-30 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1959_Indianapolis_500"
78,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",10,39,3,"Dutch Grand Prix","1959-05-31 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix"
79,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",10,55,4,"French Grand Prix","1959-07-05 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1959_French_Grand_Prix"
80,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",10,58,5,"British Grand Prix","1959-07-18 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1959_British_Grand_Prix"
81,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",10,61,6,"German Grand Prix","1959-08-02 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1959_German_Grand_Prix"
82,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",10,62,7,"Portuguese Grand Prix","1959-08-23 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix"
83,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",10,14,8,"Italian Grand Prix","1959-09-13 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix"
84,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",10,63,9,"United States Grand Prix","1959-12-12 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix"
