"id","created_at","updated_at","name","reference","nationality","wiki_url"
62,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Rebaque","rebaque","Mexican","http://en.wikipedia.org/wiki/Rebaque"
63,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Surtees","surtees","British","http://en.wikipedia.org/wiki/Surtees"
64,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Hesketh","hesketh","British","http://en.wikipedia.org/wiki/Hesketh_Racing"
65,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Martini","martini","French","http://en.wikipedia.org/wiki/Martini_(cars)"
66,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","BRM","brm","British","http://en.wikipedia.org/wiki/BRM"
67,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Penske","penske","American","http://en.wikipedia.org/wiki/Penske_Racing"
68,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","LEC","lec","British","http://en.wikipedia.org/wiki/LEC_(Formula_One)"
69,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","McGuire","mcguire","Australian","http://en.wikipedia.org/wiki/McGuire_(Formula_One)"
70,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Boro","boro","Dutch","http://en.wikipedia.org/wiki/Boro_(Formula_One)"
71,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Apollon","apollon","Swiss","http://en.wikipedia.org/wiki/Apollon_(Formula_One)"
72,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Kojima","kojima","Japanese","http://en.wikipedia.org/wiki/Kojima_Engineering"
73,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Parnelli","parnelli","American","http://en.wikipedia.org/wiki/Parnelli"
74,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Maki","maki","Japanese","http://en.wikipedia.org/wiki/Maki_(cars)"
75,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Embassy Hill","hill","British","http://en.wikipedia.org/wiki/Hill_(constructor)"
76,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Lyncar","lyncar","British","http://en.wikipedia.org/wiki/Lyncar"
77,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Trojan","trojan","British","http://en.wikipedia.org/wiki/Trojan_(Racing_team)"
78,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Amon","amon","New Zealander","http://en.wikipedia.org/wiki/Amon_(Formula_One_team)"
79,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Token","token","British","http://en.wikipedia.org/wiki/Token_(Racing_team)"
80,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Iso Marlboro","iso_marlboro","British","http://en.wikipedia.org/wiki/Iso_Marlboro"
81,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Tecno","tecno","Italian","http://en.wikipedia.org/wiki/Tecno"
82,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Matra","matra","French","http://en.wikipedia.org/wiki/Matra"
83,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Politoys","politoys","British","http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars"
84,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Connew","connew","British","http://en.wikipedia.org/wiki/Connew"
